soru,cevap,etiket
"model değerlendirme metrikleri nelerdir?","Doğruluk, kesinlik, duyarlılık gibi ölçütler vardır.",1
"model değerlendirme metrikleri nelerdir?","Regresyon problemlerinde kullanılmaz.",-1
"karışıklık matrisi neyi gösterir?","Sınıflandırma modelinin gerçek ve tahmin edilen etiketlerini karşılaştırır.",1
"karışıklık matrisi neyi gösterir?","Sadece ikili sınıflandırmada kullanılır.",-1
"roc eğrisi nedir?","Farklı eşik değerlerinde yanlış pozitif oranı ile gerçek pozitif oranını gösterir.",1
"roc eğrisi nedir?","Sınıflandırma performansını ölçmede kullanılır.",-1
"auc skoru neyi ifade eder?","Roc eğrisinin altında kalan alanın yüzde olarak ölçüsüdür.",1
"auc skoru neyi ifade eder?","0 ile 1 arasında değer alır.",-1
"f1 skoru nedir?","Kesinlik ve duyarlılığın harmonik ortalamasıdır.",1
"f1 skoru nedir?","Dengesiz veri setlerinde kullanılır.",-1
"matris faktörleştirme nedir?","Öneri sistemlerinde kullanıcı-ürün etkileşimlerini modellemek için kullanılır.",1
"matris faktörleştirme nedir?","Doğal dil işlemede yaygın olarak kullanılır.",-1
"dizin tabanlı öneri sistemi nasıl çalışır?","Benzer öğeleri benzer kullanıcıların tercihlerine göre önerir.",1
"dizin tabanlı öneri sistemi nasıl çalışır?","Matris faktörleştirme ile aynıdır.",-1
"içerik tabanlı filtreleme nedir?","Öğelerin metaveri özelliklerine dayanarak öneri yapma yöntemidir.",1
"içerik tabanlı filtreleme nedir?","Kullanıcı geçmişi kullanılmaz.",-1
"işbirlikçi filtreleme türleri nelerdir?","Kullanıcı tabanlı ve ürün tabanlı olmak üzere ikiye ayrılır.",1
"işbirlikçi filtreleme türleri nelerdir?","Sadece kullanıcı tabanlı vardır.",-1
"soğuk başlangıç problemi nedir?","Yeni kullanıcı veya öğe eklendiğinde öneri yapamama durumudur.",1
"soğuk başlangıç problemi nedir?","Öneri sistemlerinin temel bir zorluğudur.",-1
"kişiselleştirilmiş öneri sistemi nasıl oluşturulur?","Kullanıcı davranış verileri ve içerik özellikleri kullanılarak eğitilir.",1
"kişiselleştirilmiş öneri sistemi nasıl oluşturulur?","Tüm kullanıcılar için aynı önerileri yapar.",-1
"gerçek zamanlı öneri sistemleri ne zaman kullanılır?","Anlık etkileşimlerde dinamik öneri gerektiren durumlarda kullanılır.",1
"gerçek zamanlı öneri sistemleri ne zaman kullanılır?","E-ticaret sitelerinde yaygın olarak kullanılır.",-1
"dizin tabanlı ve işbirlikçi filtreleme farkı nedir?","Dizin tabanlı öğe özellikleri, işbirlikçi filtreleme kullanıcı davranışına dayanır.",1
"dizin tabanlı ve işbirlikçi filtreleme farkı nedir?","İkisi de aynı veriyi kullanır.",-1
"hibrit öneri sistemleri ne yapar?","Farklı öneri yöntemlerini birleştirerek performansı artırır.",1
"hibrit öneri sistemleri ne yapar?","Sadece içerik tabanlı ve dizin tabanlı yöntemleri birleştirir.",-1
"süperpozisyon ilkesi neyi ifade eder?","Bir kuantum sisteminin aynı anda birden fazla durumda bulunabilmesidir.",1
"süperpozisyon ilkesi neyi ifade eder?","Parçacıkların iki farklı konumda aynı anda olabilmesidir.",-1
"yapay zeka hangi alanlarda uygulanır?","Sağlık, finans ve otonom sistemler gibi çeşitli sektörlerde kullanılır.",1
"yapay zeka hangi alanlarda uygulanır?","Sadece oyunlarda kullanılır.",-1
"makine öğrenmesi temel prensibi nedir?","Veriden öğrenerek tahminler yapma yeteneğidir.",1
"makine öğrenmesi temel prensibi nedir?","Matematiksel formüller kullanarak sonuç üretmektir.",-1
"nöronal aktivasyon fonksiyonu ne işe yarar?","Nöronların girdiye tepkisini doğrusal olmayan şekilde modellemek için kullanılır.",1
"nöronal aktivasyon fonksiyonu ne işe yarar?","Nöronlar arasındaki bağlantıları güçlendirmek için kullanılır.",-1
"biyoinformatikte çoklu hizalama ne sağlar?","Farklı türlerin genetik dizilerini karşılaştırmayı mümkün kılar.",1
"biyoinformatikte çoklu hizalama ne sağlar?","Protein yapılarını tahmin eder.",-1
"yazılım mühendisliğinde TDD nedir?","Testleri yazarak tasarım yapmak ve kodlamayı yönlendirmektir.",1
"yazılım mühendisliğinde TDD nedir?","Kod yazdıktan sonra testleri çalıştırmaktır.",-1
"moleküler biyolojide PCR işlemi neyi hedefler?","DNA dizilerini çoğaltarak miktarını artırmayı amaçlar.",1
"moleküler biyolojide PCR işlemi neyi hedefler?","Protein sentezini başlatır.",-1
"yapay zekada öznitelik çıkarımı nedir?","Veriden anlamlı özellikler otomatik olarak öğrenilmesidir.",1
"yapay zekada öznitelik çıkarımı nedir?","Manuel olarak özelliklerin seçilmesidir.",-1
"nörobilimde sinaptik plastisite nedir?","Beynin deneyime bağlı olarak bağlantılarını değiştirmesidir.",1
"nörobilimde sinaptik plastisite nedir?","Nöronların elektrik sinyalleri göndermesidir.",-1
"biyoinformatikte BLAST aracı ne yapar?","DNA veya protein dizilerini veritabanlarıyla karşılaştırır.",1
"biyoinformatikte BLAST aracı ne yapar?","Genom dizilimi oluşturur.",-1
"yazılım mühendisliğinde CI/CD nedir?","Sürekli entegrasyon ve dağıtım işlem hattıdır.",1
"yazılım mühendisliğinde CI/CD nedir?","Kodun elle test edilmesidir.",-1
"moleküler biyolojide transkripsiyon süreci neyi içerir?","DNA'dan RNA sentezi adımlarını kapsar.",1
"moleküler biyolojide transkripsiyon süreci neyi içerir?","Protein sentezini başlatır.",-1
"kuantum hesaplamada Qubit nasıl çalışır?","Süperpozisyon sayesinde birden fazla durumu temsil eder.",1
"kuantum hesaplamada Qubit nasıl çalışır?","Klasik bitlerden daha hızlı hesaplar.",-1
"derin öğrenmede geri yayılım algoritması ne yapar?","Ağırlık güncellemeleri için hat fonksiyonunu minimize eder.",1
"derin öğrenmede geri yayılım algoritması ne yapar?","Veriyi sıralar.",-1
"nörobilimde nörotransmitterler hangi rolü üstlenir?","Nöronlar arası sinyal iletimini sağlar.",1
"nörobilimde nörotransmitterler hangi rolü üstlenir?","Beyin hücrelerini besler.",-1
"kriptografide dijital imza nasıl oluşturulur?","Asimetrik şifreleme ile veri bütünlüğü sağlanır.",1
"kriptografide dijital imza nasıl oluşturulur?","Parmak izi alınarak yapılır.",-1
"veri biliminde EDA (keşifsel veri analizi) ne amaçlar?","Verinin yapısını ve kalitesini anlamak için kullanılır.",1
"veri biliminde EDA (keşifsel veri analizi) ne amaçlar?","Model eğitimi için kod yazmaktır.",-1
"biyoinformatikte yapısal biyoinformatik neyi inceler?","Protein ve nükleik asitlerin 3B yapılarını analiz eder.",1
"biyoinformatikte yapısal biyoinformatik neyi inceler?","DNA dizilimini analiz eder.",-1
"yazılım mühendisliğinde refactoring nedir?","Kodun iç yapısını iyileştirerek değişime açık hale getirmektir.",1
"yazılım mühendisliğinde refactoring nedir?","Kodu tamamen yeniden yazmaktır.",-1
"moleküler biyolojide epigenetik mekanizmalar neyi etkiler?","Gen ifadesini çevresel faktörlerle değiştirir.",1
"moleküler biyolojide epigenetik mekanizmalar neyi etkiler?","DNA replikasyonunu başlatır.",-1
"derin öğrenmede dikkat mekanizması hangi problemi çözer?","Uzun bağımlılıkları modellemek için kullanılır.",1
"derin öğrenmede dikkat mekanizması hangi problemi çözer?","Veriyi rastgele karıştırır.",-1
"yapay zekada pekiştirmeli öğrenme nasıl çalışır?","Ajanın ödül sinyalleri ile öğrenmesini sağlar.",1
"yapay zekada pekiştirmeli öğrenme nasıl çalışır?","Sabit kurallarla hareket eder.",-1
"nörobilimde nörogenez nedir?","Beyinde yeni nöron oluşum sürecidir.",1
"nörobilimde nörogenez nedir?","Nöronların enerji üretmesidir.",-1
"kriptografide sözlük saldırısı nasıl önlenir?","Güçlü rastgele şifreler ve tuzlama kullanılır.",1
"kriptografide sözlük saldırısı nasıl önlenir?","Tek seferlik şifrelerle çözülür.",-1
"veri biliminde veri temizleme adımları nelerdir?","Eksik değerlerin doldurulması ve aykırı değerlerin işlenmesi.",1
"veri biliminde veri temizleme adımları nelerdir?","Veriyi rastgele silmektir.",-1
"biyoinformatikte gen düzenleme teknikleri nelerdir?","CRISPR-Cas9 gibi araçlar kullanılır.",1
"biyoinformatikte gen düzenleme teknikleri nelerdir?","Genom dizilimi çıkarmaktır.",-1
"moleküler biyolojide translasyon süreci neyi içerir?","mRNA'dan protein sentezi adımlarını kapsar.",1
"moleküler biyolojide translasyon süreci neyi içerir?","DNA replikasyonunu başlatır.",-1
"kuantum hesaplamada kuantum üstünlüğü nedir?","Klasik bilgisayarların çözemediği problemleri çözme yeteneğidir.",1
"kuantum hesaplamada kuantum üstünlüğü nedir?","Daha az enerji tüketir.",-1
"yapay zekada transfer öğrenmesi neyi amaçlar?","Önceden eğitilmiş modelleri yeni görevlere uyarlamayı sağlar.",1
"yapay zekada transfer öğrenmesi neyi amaçlar?","Veriyi elle etiketlemektir.",-1
"makine öğrenmesinde aktif öğrenme nasıl çalışır?","Modelin belirsiz olduğu örnekleri işaretleterek öğrenir.",1
"makine öğrenmesinde aktif öğrenme nasıl çalışır?","Tüm veriyi kullanır.",-1
"nörobilimde nöral türevler nedir?","Nöron kökenli hücrelerden elde edilen terapötik araçlardır.",1
"nörobilimde nöral türevler nedir?","Beyin sinyallerini güçlendirir.",-1
"kriptografide kuantum dirençli şifreleme neden gereklidir?","Kuantum bilgisayarların tehdidine karşı koruma sağlar.",1
"kriptografide kuantum dirençli şifreleme neden gereklidir?","Veriyi şifrelemek için kullanılır.",-1
"veri biliminde zaman serisi tahmini hangi teknikleri kullanır?","ARIMA ve LSTM gibi modeller uygulanır.",1
"veri biliminde zaman serisi tahmini hangi teknikleri kullanır?","Veriyi rastgele tahmin eder.",-1
"biyoinformatikte fonksiyonel genomik neyi inceler?","Genlerin işlevsel rollerini ve düzenlenmesini analiz eder.",1
"biyoinformatikte fonksiyonel genomik neyi inceler?","DNA dizilimini çıkarmaktır.",-1
"moleküler biyolojide apoptoz nedir?","Programlanmış hücre ölüm sürecidir.",1
"moleküler biyolojide apoptoz nedir?","Hücre bölünmesini hızlandırır.",-1
"derin öğrenmede otomatik özellik öğrenme hangi algoritmayı kullanır?","Derin sinir ağlarının katmanları tarafından gerçekleştirilir.",1
"derin öğrenmede otomatik özellik öğrenme hangi algoritmayı kullanır?","Manuel özellik çıkarımını kullanır.",-1
